text,rating,date,pred_label,p_positive,p_negative
"Наушники хорошие,звук нормальный,но чехол пришёл рваный.",4,2025-08-14,negative,0.003392424201592803,0.7021926641464233
Очень хорошие наушники дочке понравилось ￼. Что есть чехол внутри ￼. Всё нормально ￼￼,5,2025-08-14,positive,0.996616542339325,0.0018197230529040098
"Наушники без брака, звук отличный! Всё хорошо упаковано, в подарок положили чехол! 
Есть инструкция! 
Просты в обращении, теперь еду за рулём и кайфую! 
Рекомендую продавца!",5,2025-08-14,positive,0.9970079064369202,0.0016203558770939708
"хороший,удобные наушники,советую",5,2025-08-13,positive,0.9941020607948303,0.0020814272575080395
"Не советую. Звук хороший,чехол нормальный(он черный и из за этого не видно заряд кейса) ,и шнур есть.. Когда поправлю, начинается звук «пим». Я даже на кнопку не нажимаю, и из-за этого звука нет, а потом появляется. Я пропускаю моменты в видео,  ***   *** Не советую брать, когда будете поправлять — они сразу вырубают видео. Я даже на кнопку не нажимал, а «пим» и «пим» всё равно. Также непонятно, где кнопка. Обычно при нажатии звук есть, а тут его нет.Также некоторые отзывы написаны за деньги.Также кейс если он не работает то наушник тоже.Так не должно быть у других наушников таких же моих старых. Если кейс разряжен то наушники работает,а тут нет почему.За 100 рублей говорят, что нужно прислать видео и два фото. Афигенно просто.",1,2025-08-13,negative,0.0061626136302948,0.5588323473930359
Зарядка тип C. За чехол отдельное спасибо!. Чистый звук. Компактные. Хорошая копия. Пока все хорошо,5,2025-08-13,positive,0.9943634271621704,0.0009291889728046954
"Когда разговариваешь по телефону, нужно наушники выключать. По телефону нельзя общаться. И расстояние не держит от слова совсем. А так да, телефон сразу их нашел, качество звука приличное.",3,2025-08-13,neutral,0.01764342188835144,0.09670308977365494
Всё по прежнему впорядке,5,2025-08-13,negative,0.02369292639195919,0.6137506365776062
Очень быстрая доставка,5,2025-08-13,positive,0.9378951191902161,0.0021232175640761852
"Заказала наушники в подарок подруге 🎁♥️. Наушники пришли без повреждений хорошо упакованы, в подарок положили ещё чехол 🥰👍🏻. С виду не обнаружено",5,2025-08-13,neutral,0.017476199194788933,0.4168492257595062
"переживала, что будут неисправны, но они идеальны! заряд держат хорошо, звук прекрасный, чехол тоже очень порадовал. рекомендую к покупке!. наушники потрясающие",5,2025-08-13,positive,0.9970269799232483,0.0016164102125912905
Отличное качество,5,2025-08-13,positive,0.9926530122756958,0.002285434864461422
,1,2025-08-13,neutral,0.01538639236241579,0.25866207480430603
Посоветую другу. Хорошие наушники. Нет недостатков,5,2025-08-13,positive,0.9958657026290894,0.0015996730653569102
Помогли разобраться запуском наушников!,5,2025-08-13,neutral,0.1043524444103241,0.13613450527191162
,1,2025-08-13,neutral,0.01538639236241579,0.25866207480430603
"Хорошие, рекомендую. Качественные",5,2025-08-13,positive,0.9962015748023987,0.0019942070357501507
Все хорошо,5,2025-08-13,positive,0.9913315773010254,0.0014844277175143361
"Разница между оригиналом есть, эти потише будут и звук чуть чуть отличается. Звук, долго зарядку держит. Неудобно и как то неприятно кейс открывается",5,2025-08-13,neutral,0.04178003594279289,0.03659919649362564
"пользовалась сегодня почти весь день как забрала, зарядку держат отлично! разрядились часа через 4-5, но быстро зарядились вновь)
несколько режимов шумоподавления, как и у оригинала, очень хорошо отгораживают от внешних звуков!
рекомендую✨",5,2025-08-13,positive,0.9973944425582886,0.0012967619113624096
"Очень быстро и качественно обработан вопрос о браке, спасибо",5,2025-08-13,positive,0.9458765983581543,0.005474668461829424
,1,2025-08-12,neutral,0.01538639236241579,0.25866207480430603
Отличное качество не сиотря на цену. Звук👍,5,2025-08-12,positive,0.9899405837059021,0.0013857987942174077
Отлично. Качество на высшем уровне👍,5,2025-08-12,positive,0.9967779517173767,0.0014804481761530042
"К покупке рекомендую!👍👍👍. Всё хорошо упаковано!👍 Качественный звук, прекрасно держат заряд, полная комплектация, быстрая и качественная доставка.. Минусов просто нет!",5,2025-08-12,positive,0.9966004490852356,0.00205455650575459
расплавился наушник в кейсе😀,2,2025-08-12,neutral,0.01098229456692934,0.3319866359233856
Стоят своих денег. Все четко,5,2025-08-12,positive,0.9938933253288269,0.0012666061520576477
"Хороший звук, хорошее исполнение. Чехольчик в комплекте, что очень поражовало",5,2025-08-12,positive,0.9759529232978821,0.0018300748197361827
"упаковка все все как оригинал , но все таки когда говоришь как и все копии, звук как будто в воде оставили и забыли , а все остальное впрнципе норм",5,2025-08-12,neutral,0.1200987696647644,0.14277522265911102
"Хорошее качество
Спасибо !. Все работает идеальные наушники",5,2025-08-12,positive,0.99689781665802,0.0015233751619234681
"Всё хорошо, качество нормальное",5,2025-08-12,positive,0.988324761390686,0.001386380521580577
"Почему звук такой тихий, как это исправить?. Не положили зарядной шнур",3,2025-08-12,negative,0.0019028524402529001,0.7665271759033203
"Отлиные наушники, удобные,  звук очень хороший, упаковка на высшем уровне!",5,2025-08-12,positive,0.9970675110816956,0.0014768164837732911
отличные наушники!!,5,2025-08-12,positive,0.9958810806274414,0.0021481732837855816
,1,2025-08-12,neutral,0.01538639236241579,0.25866207480430603
"Мне все понравилось, спасибо!. Хорошо держит заряд и хорошо что чехол был вместе, ни то до приезда нового чехла я бы его уже расцарапала и так и сяк. Трудно переключать музыку и вообще управлять датчиком, ну не буду считать это такой уж большой проблей, телефон то и так рядом",5,2025-08-12,neutral,0.3409358263015747,0.08185633271932602
Ну отлично но плохо слышут,5,2025-08-12,positive,0.8712672591209412,0.002392582595348358
"Круто, что продавец не оставляет своего покупателя. Спасибо ещё раз",5,2025-08-12,positive,0.8823647499084473,0.06466926634311676
"От наушников один восторг, как оригинал, нет разници, пользуюсь с удовольствием",5,2025-08-12,positive,0.9918278455734253,0.0010462065692991018
"Отличные беспроводные наушники!Удобны в использовании,быстро подключаются ,звук достойный.Также в подарок положили чехол.В итоге покупкой очень доволен.",5,2025-08-11,positive,0.9915040135383606,0.0016068024560809135
Можете брать. Не хриплят. Не рабочий кабель,4,2025-08-11,neutral,0.05797814950346947,0.11559799313545227
Товар мне очень понравился 👍👍👍,5,2025-08-11,positive,0.9892954230308533,0.002401632023975253
"Соотношение цена-качество 👍🏼 в подарок был чехол. Отличные наушники,хороший звук. Минусов не обнаружила",5,2025-08-11,positive,0.9757503867149353,0.001921877614222467
"Отличные наушники, дочери понравились",5,2025-08-11,positive,0.9964178800582886,0.00152580498252064
"Звук хороший,чехол качественный,все скпер. Качество звука. Все так",5,2025-08-11,positive,0.9966926574707031,0.0008998035918921232
"хзпайдет. отличный звук, хороший дизайн и удобный. пришли разряженные, долго мучалась с подключением и зарядкой (не заряжались родным проводом). сами ставят музыку на паузу,хотя скорее всего это проблема формы ушей.",3,2025-08-11,neutral,0.07147632539272308,0.07214495539665222
отличные наушники. зарядка отличная и звук,5,2025-08-11,positive,0.9963247179985046,0.0021163923665881157
Хорошая комплектация,5,2025-08-11,positive,0.9946339130401611,0.0013785338960587978
Всё понравилось,5,2025-08-11,positive,0.9945344924926758,0.0013271820498630404
Рекомендую. Супер,4,2025-08-11,positive,0.996224045753479,0.002095852280035615
"Наушники не заряжаются, перепробовала все Type-c. Через раз подключаются к телефону, раньше заряжались при открытом кейсе только, теперь совсем не заряжаются, прошло 3 нндели с покупки..",2,2025-08-11,neutral,0.11601529270410538,0.180129274725914
В наборе все хорошо качественно и красиво. Превосходный басс звук без шума,5,2025-08-11,positive,0.9971885085105896,0.0013410071842372417
"Все круто, работает хорошо!",5,2025-08-11,positive,0.9966155886650085,0.0019183217082172632
"наушники прошли испытание дождем,активными тренировками и ничего с ними не произошло.заряд держат днями",5,2025-08-10,positive,0.9683272242546082,0.003789671929553151
Хорошая копия. Звук отличный,5,2025-08-10,positive,0.9951987862586975,0.0021769655868411064
"Наушники полностью оправдывают свою стоимость. Прекрасный звук и интерфейс. Есть доп. режимы - адаптация, шумоподавление и тд. Смело можете заказывать - не пожалеете. В эксплуатации достаточно давно, всё супер)",5,2025-08-10,positive,0.9973192811012268,0.0013935195747762918
"Наушники просто отличные! Звук чистый, басы насыщенные, работают стабильно и долго держат заряд. Подключаются моментально, в ушах сидят удобно. Доставка быстрая, упаковка надёжная. Очень доволен покупкой!",5,2025-08-10,positive,0.9970757961273193,0.0016855646390467882
Наушники огонь,5,2025-08-10,positive,0.9926440119743347,0.0014306025113910437
"Хорошее звучание, не отличить от оригинала. Все",5,2025-08-10,positive,0.9963927865028381,0.0013789305230602622
Наушник очень красивый нам всё понравилась там был падарик километров дла наушников. Наушник красивий,5,2025-08-10,positive,0.9938888549804688,0.0015915215481072664
"наушники хорошие,работают отлично",5,2025-08-10,positive,0.996573805809021,0.0011442299000918865
"Наушники пришли хорошо упаковнные, все идеально! Звук прекрасный!. Музыка играет даже тогда, когда нушники в закрытом еейсе",5,2025-08-10,positive,0.9964273571968079,0.0016398465959355235
Очень классные и очень хорошо работают👍,5,2025-08-10,positive,0.995596706867218,0.0023858603090047836
"Прекрасные наушники, хорошее качество звука, долго держат заряд. В комплекте чехол и зарядка для кейса. Все понравилось, спасибо!. отличный звук, хорошо держат заряд",5,2025-08-10,positive,0.9967272281646729,0.0019015633733943105
"супер наушники. минус только в том, что они при открывании издают какой-то странный звук, раздражает",5,2025-08-10,positive,0.9931898713111877,0.0011743762297555804
"Наушники огонь, не отличить от оригинала. Звук чётки",5,2025-08-10,positive,0.9885212182998657,0.001589266350492835
"Скпер наушники,звук хороший
Купила на подарок, все понравилось",5,2025-08-10,positive,0.9959080219268799,0.0015106475912034512
"Качественные, долго держат зарядку,четкий звук",5,2025-08-09,positive,0.9824005365371704,0.0012445731554180384
"Что и в первый день работают хорошо, я довольна покупкой💞",5,2025-08-09,positive,0.9959341287612915,0.0013733021914958954
"Хотелось бы зарядное устройство в комплектации.. За такую цену очень хорошие наушники, была проблема что наушники вместе не подключались, написала в поддержку, помогли все работает.",5,2025-08-09,positive,0.9965930581092834,0.0009304221021011472
Еслы вы не меломан очень качественный продукт!. Качественно внешне. Все как в описании!. Звук средний. Не хватает баса и объема. Нужно было брать модель 4 - которая подороже наверно),5,2025-08-09,positive,0.9948691129684448,0.0009461928275413811
"Советую к покупке лучшие из реплик. Отличные наушники,все работает без проблем,отличное шумоподавление. Все супер",5,2025-08-09,positive,0.9958240985870361,0.002431847620755434
"Пользуюсь наушником уже 4 месяца в восторге от звука ни разу не подвел в зарядке, заряд держит аш 4-5 дней я в шоке
крч советую очень хорошая 👍👍. Звук. их нету",5,2025-08-09,negative,0.002372529124841094,0.8856963515281677
"Отличные наушники,хороший звук👍🏻👍🏻",5,2025-08-09,positive,0.9960636496543884,0.0020754847209900618
Наушники отличные,5,2025-08-09,positive,0.9945952296257019,0.001436932128854096
"Отличный товар, цена хорошая, работают отлично, звук четкий без хрипов. Подключаются быстро, в ушах сидят удобно👍",5,2025-08-09,positive,0.9967296123504639,0.0018646966200321913
Через какое-то время всё исправилось само собой. Сейчас ребёнок наушниками очень доволен.,5,2025-08-09,positive,0.4966834485530853,0.03248114883899689
"левый наушник зарядку не держит совсем, садиться за 5 минут",1,2025-08-09,negative,0.0035720407031476498,0.8176670074462891
Все отлично работает,5,2025-08-09,positive,0.9958938360214233,0.0020311125554144382
"Хорошие наушники за свои деньги, звук хороший, подарили чехол.. Внешне похожи очень. Звук достойный.. Нет беспроводной зарядки.",5,2025-08-09,positive,0.995897650718689,0.0010021851630881429
хороший звук,5,2025-08-08,positive,0.9872668385505676,0.0015402794815599918
"Чехол матовый, нескозит удобно. Компактные, простые в обслуживание",5,2025-08-08,positive,0.9949344992637634,0.0008125522872433066
"наушники 10/10,давно искала подобные за такую цену это просто золото. все идеально,упаковка не отличается от оригинала,звук хороший,кейс удобный,наушники из ушей не выпадают,за чехол отдельный плюс,спамибо продавцу",5,2025-08-08,positive,0.9971498847007751,0.0009361188858747482
через раз работает левый наушник,3,2025-08-08,neutral,0.022035429254174232,0.4527091085910797
"Отличные наушники, все как в оригинальных",5,2025-08-08,positive,0.99625563621521,0.0020030392333865166
Хорошо свук,5,2025-08-08,positive,0.9194445013999939,0.0030534600373357534
"Отличные наушники,советую. Хорошие. Всё хорошо",5,2025-08-08,positive,0.996190071105957,0.0021622770000249147
,1,2025-08-08,neutral,0.01538639236241579,0.25866207480430603
,3,2025-08-08,neutral,0.01538639236241579,0.25866207480430603
,1,2025-08-08,neutral,0.01538639236241579,0.25866207480430603
"Рекомендую, не пожалеете",5,2025-08-08,positive,0.9907400608062744,0.0032869791612029076
Отличные наушники 👍. Всё понравилось. Всё хорошо,5,2025-08-08,positive,0.9964187145233154,0.002076184842735529
Отлично работаю. Все хорошо,5,2025-08-08,positive,0.9961183071136475,0.0019183934200555086
"Обьемный звук, хорошее звучание
Быстро заряжаются, что очень радует",5,2025-08-08,positive,0.9959505796432495,0.0021387452725321054
"Пришли выстро,все хорошо упакованно и все целое. Товар качественный. Все так",5,2025-08-08,positive,0.9965682029724121,0.001149528194218874
"хороший звук, очень удобные. работают только после того как поставлю на зарядку, даже если заряжены были на 100%. чтобы нормально послушать музыку надо держать телефон в определенном положении, а если как-то поверну голову или телефон отключаются",2,2025-08-08,positive,0.9966046810150146,0.001322886091656983
"Товар очень понравился , всем советую",5,2025-08-08,positive,0.9950999617576599,0.001325200661085546
,1,2025-08-08,neutral,0.01538639236241579,0.25866207480430603
,5,2025-08-08,neutral,0.01538639236241579,0.25866207480430603
"Наушники хорошие, качественные",5,2025-08-07,positive,0.9951187372207642,0.0011567403562366962
"хорошие наушники, все нравится) пока работают, чехол в комлпекте был)",5,2025-08-07,positive,0.9971332550048828,0.0010427681263536215
Все запечатано было надежно!. Быстрое подключение все работает супер заук хороший,5,2025-08-07,positive,0.9901712536811829,0.0024381843395531178
Все шикарно. Звук сильнее чем на оригиналах айподс 2,5,2025-08-07,positive,0.9947896003723145,0.0008787978440523148
"Это подарок для внучки. Она оценила его по высшему баллу. Аккуратная упаковка, нареканий нет",5,2025-08-07,positive,0.9939518570899963,0.0010435252916067839
"Очень красивые и удобные наушники. Качество, упаковка",5,2025-08-07,positive,0.9970442652702332,0.001520055695436895
"Хорошие уши, заряд держад, анимации и прочее имеет. И чехол отлично садиться, держиться.. Хорошие. После недели пользования, басы стали хрипеть.",5,2025-08-07,positive,0.9927398562431335,0.0012883347226306796
Товар очень понравился 🙏,5,2025-08-07,positive,0.9931368827819824,0.0016468921676278114
"все good. хорошие наушники,брала в подарок подруге",5,2025-08-07,positive,0.9966776371002197,0.001723717083223164
,2,2025-08-07,neutral,0.01538639236241579,0.25866207480430603
"отличные наушники, за такую стоимость лучше не найти!. хороший звук, качественная сборка и долгая автономность",5,2025-08-07,positive,0.9959200620651245,0.001922460738569498
,2,2025-08-07,neutral,0.01538639236241579,0.25866207480430603
"Пришел и чехол в прдарок приятный на ощуп, очень понравилось. Все работает , басы просто отличные прямо как в оригинальных",5,2025-08-07,positive,0.997349739074707,0.0011032039765268564
"идеальные наушники, беру второй раз на подарок, мои уже больше 2х лет служат",5,2025-08-06,positive,0.996503472328186,0.0017973465146496892
Товар хороший 👍,5,2025-08-06,positive,0.989463210105896,0.0012503090547397733
Очень хорошие наушники по материалу и с хорошим звучанием,5,2025-08-06,positive,0.9958757758140564,0.0013295954558998346
Отлично подключились к телефону. Срабатывает звук оповещения при полной зарядке батареи. Все отлично,5,2025-08-06,positive,0.9959272742271423,0.002222895622253418
,3,2025-08-06,neutral,0.01538639236241579,0.25866207480430603
Через два дня левый перестал работать (,1,2025-08-06,negative,0.004169968888163567,0.7062181830406189
Быстро садится зарядка,3,2025-08-06,positive,0.9763104915618896,0.001685194205492735
Наушники очень классные от оригинала не отличить берите не пожалеете)). Очень хорошая цена за такие наушники),5,2025-08-06,positive,0.996066153049469,0.0010369806550443172
Давно хотел наушники приобрести вот решил взят оказалис очень даже хорошими за свои денги. Не отличиш от оригинала мне очень понравилась стоит своих денег,5,2025-08-06,positive,0.8056216835975647,0.0240282341837883
"Спасибо продавцу за обратную связь. Мне оперативно помогли с вопросом по наушникам.. Цена/качество. За такие деньги все нормально, но немного непонятно работает функция шумоподавления",5,2025-08-06,positive,0.9378568530082703,0.0023819974157959223
"Наушники, работают хорошо, подожили чехол в подарок, спасибо большое❤️",5,2025-08-06,positive,0.9962253570556641,0.0010847911471500993
"Наушники отличные, хороший звук и слышимость. Рекомендую. Спасибо",5,2025-08-06,positive,0.9962711334228516,0.0022131167352199554
Наушники супер работают отлично. Наушники топ,5,2025-08-06,positive,0.9970477223396301,0.001436488819308579
Отличный звук. Отличный звук,5,2025-08-06,positive,0.9958040118217468,0.0018799396930262446
Кай. Кайф. Чсе ок,5,2025-08-06,positive,0.9521116018295288,0.008572621271014214
Все отлично. Довольна очень. Вам успехов и побольше клиентов.,5,2025-08-06,positive,0.9962575435638428,0.0021941799204796553
"Очень хороший звук, оба наушника работают, всем советую 👏. Звук отличный, как по мне, то не отличить от оригинала",5,2025-08-06,positive,0.9958474040031433,0.0024577942676842213
"хороший звук. не подошел провод зарядки, задержка ест но очень маленькая",4,2025-08-06,neutral,0.3547567129135132,0.024211090058088303
"супер, все нравится",5,2025-08-05,positive,0.9963093400001526,0.001910215592943132
Хороший звук если настроить как советует продовец,5,2025-08-05,negative,0.05478827282786369,0.5883767604827881
"Все супер,рекомендую",5,2025-08-05,positive,0.9959255456924438,0.0023392357397824526
хорошир наушники мне понравились,5,2025-08-05,positive,0.9957563281059265,0.0010409230599179864
"Отличные наушники ! Пришли рантше обещанного , качественно упакованы
Так же к наушникам положили чехольчик
Отличное качество и звук , спасибо",5,2025-08-05,positive,0.9965910911560059,0.0020123322028666735
"Пользуюсь наушниками 3 месяца, все устраивает
Звук хороший, заряд держат около недели
Каждыц день слушаю",5,2025-08-05,neutral,0.10608852654695511,0.08773539215326309
"Покупайте. Очень хорошие наушники,пришли быстро.
Пользуюсь ими уже давно,звук прекрасен.. ///",5,2025-08-05,positive,0.9972042441368103,0.0014246082864701748
"Внешний вид товара, упаковка, все было качественно.. Один из наушников не работал ( в нем быстро пропадал звук), но после выяснений с продавцом неисправность устранилась. Поскольку наушники предназначались в подарок, то впечатление испорчено.",4,2025-08-05,negative,0.0022200194653123617,0.8065934181213379
"наушники хорошие, звук чистый. выглядят один в один как оригинал, продавца советую, можете смело брать)",5,2025-08-05,positive,0.9970398545265198,0.001175758894532919
"Очень удобные, анимация как у AirPods, есть возможность настроить персонально под свои задачи.",5,2025-08-05,positive,0.9966233968734741,0.0018304697005078197
"Оригинальная упаковка. От оригинала не отличить.. Чёткий звук, вообще не ощущается что подделка.. Даже если заряжены на телефоне показывает 0%, а так работают.",5,2025-08-05,positive,0.7207932472229004,0.015282494015991688
"Звук норм ,. На корпусе уже были царапины",5,2025-08-05,positive,0.5778864026069641,0.022695550695061684
Хорошо.,5,2025-08-05,positive,0.9858745336532593,0.0013461003545671701
Все хорошо приехало быстро звук качественный но часто реагирую на воздух и ставятся на паузу. Звук качество. Реагирует на воздух,4,2025-08-05,neutral,0.15693263709545135,0.02980787865817547
Берите не пожалеете!!!. Хорошие,4,2025-08-05,positive,0.9949436783790588,0.0023010256700217724
"работают, всё отлично. не понравилось одно, это то что когда я забирала заказ на пункте, сказали что после вскрытия нельзя вернуть товар, вопрос: как я должна была проверить, если нельзя потом отдать обратно, QR-код целый на коробке",5,2025-08-05,neutral,0.1977202445268631,0.27233409881591797
"Сначала наушники не работали, потом я тх перезагрузила и всё стало хорошо",5,2025-08-05,neutral,0.1925627887248993,0.060871656984090805
Хороший звук,5,2025-08-05,positive,0.9872668385505676,0.0015402794815599918
"но иногда когда включены оба наушника каждые несколько секунд срабатывает звук подключения 🤷🏻‍♀️. офигенные,красивые,удобные",5,2025-08-05,positive,0.996535062789917,0.0015899628633633256
"Отличные наушники! Звук чистый, басы насыщенные, комфортные для длительного ношения. Батарея держит долго, дизайн стильный и современный. Очень доволена покупкой — однозначно 5 звезд!",5,2025-08-04,positive,0.9969338178634644,0.0017928361194208264
"Первыми наушниками пользуюсь больше месяца, все супер! Такие же заказал и сыну, доволен и рад покупке. Еще чехол в подарок. Буду брать и дочери)",5,2025-08-04,positive,0.9971699118614197,0.0013817318249493837
"Классные наушники, звучание супер, не отличить от оригинала незнающий не отличит, анимация как у оригинальных .",5,2025-08-04,positive,0.9966529011726379,0.0015955662820488214
"Самые хорошие наушники за свою цену, спасибо большое❤️‍🔥",5,2025-08-04,positive,0.9964380264282227,0.001515329466201365
Наушники бомба сказать больше нечего,5,2025-08-04,neutral,0.33840659260749817,0.027343612164258957
Все просто шикарно,5,2025-08-04,positive,0.9968245029449463,0.001583423581905663
,1,2025-08-04,neutral,0.01538639236241579,0.25866207480430603
"Все хорошо с ними. На большой громкости чуть хриплый звук, а так все идеально",5,2025-08-04,positive,0.9940839409828186,0.0007726296316832304
"советую, но лучше купить зарядку заранее если у вас не лайтнинг. добрый день, забрала наушники 3 дня назад, было страшно, что будут неисправны, но все оказалось хорошо, звук отличный, в подарок чехол, долго держится заряд. к сожалению кабель не работает, но кейс разряжается очень долго, за три дня всего -35%",5,2025-08-04,positive,0.7864998579025269,0.00841829925775528
"Все кайф,всем советую!!!. Наушники очень хорошего качества,все понравилось.",5,2025-08-04,positive,0.9962477087974548,0.0016424116911366582
,3,2025-08-04,neutral,0.01538639236241579,0.25866207480430603
Наушники хорошие но пришли севшие  чехол был в подарок. Спустя 4 дня звук начал пропадать,4,2025-08-04,negative,0.051651470363140106,0.5138128399848938
"Качественные наушники, звук хороший! Чехол в подарок положили, спасибо большое!",5,2025-08-04,positive,0.9971529245376587,0.0015982732875272632
"удобные, шумоподавление хорошо работает, звук тоже на высоте",5,2025-08-04,positive,0.9968268275260925,0.0013879028847441077
